2026-08-05 10:08:26 INFO     main: ======================================================================
2026-08-05 10:08:26 INFO     main: AWS Sandbox Cleanup Engine
2026-08-05 10:08:26 INFO     main: Regions: ap-south-1 | Dry run: True
2026-08-05 10:08:26 INFO     main: Cross-account targets: 070640552464 via OrganizationAccountAccessRole
2026-08-05 10:08:26 INFO     main: ======================================================================
2026-08-05 10:08:26 INFO     main: --- Account 070640552464 / role OrganizationAccountAccessRole / region ap-south-1 ---
2026-08-05 10:08:26 INFO     botocore.credentials: Found credentials in shared credentials file: ~/.aws/credentials
2026-08-05 10:08:27 INFO     orchestrator: Starting cleanup run for account 070640552464 in ap-south-1
2026-08-05 10:08:27 INFO     orchestrator: Discovered 16 service plugins: apigateway, application_autoscaling, autoscaling, cloudformation, ec2, ecr, ecs, eks, elasticbeanstalk, elb, eventbridge, iam, kms, lambda, rds, s3
2026-08-05 10:08:27 INFO     services.cloudformation: [DISCOVER]  Scanning CloudFormation stacks ...
2026-08-05 10:08:27 INFO     services.ec2: [DISCOVER]  Scanning EC2 instances, volumes, snapshots, and networking resources ...
2026-08-05 10:08:27 INFO     services.ecs: [DISCOVER]  Scanning ECS clusters, services, tasks, container instances, and task definitions ...
2026-08-05 10:08:27 INFO     services.eventbridge: [DISCOVER]  Scanning EventBridge buses, rules, archives, and schema registries ...
2026-08-05 10:08:27 INFO     services.iam: [DISCOVER]  Scanning IAM roles, policies, instance profiles, users, and groups ...
2026-08-05 10:08:27 INFO     services.rds: [DISCOVER]  Scanning RDS clusters and instances ...
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'ecr' raised: Service 'ecr' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 INFO     services.s3: [DISCOVER]  Scanning S3 buckets ...
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'application_autoscaling' raised: Service 'application_autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'autoscaling' raised: Service 'autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'lambda' raised: Service 'lambda' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'kms' raised: Service 'kms' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'apigateway' raised: Service 'apigateway' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'elb' raised: Service 'elb' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'elasticbeanstalk' raised: Service 'elasticbeanstalk' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 ERROR    orchestrator: [ERROR]     Inventory scan for 'eks' raised: Service 'eks' is a placeholder and has not been implemented yet.
2026-08-05 10:08:27 INFO     services.cloudformation: [DISCOVER]  Found 0 stacks
2026-08-05 10:08:27 INFO     services.s3: [DISCOVER]  Found 0 buckets
2026-08-05 10:08:27 INFO     services.ecs: [DISCOVER]  Found 0 clusters, 0 services, 0 standalone tasks, 0 container instances, 0 active task definitions
2026-08-05 10:08:28 INFO     services.rds: [DISCOVER]  Found 1 DB clusters and 1 DB instances
2026-08-05 10:08:28 INFO     services.eventbridge: [DISCOVER]  Found 0 custom event buses, 0 rules, 0 archives, 0 custom schema registries, 0 schemas
2026-08-05 10:08:28 INFO     services.ec2: [DISCOVER]  Found 0 instances, 0 volumes, 0 snapshots, 0 networking resources
2026-08-05 10:08:31 INFO     services.iam: [DISCOVER]  Protecting currently-assumed role 'OrganizationAccountAccessRole' from deletion
2026-08-05 10:08:31 INFO     services.iam: [DISCOVER]  Found 0 deletable roles, 2 customer-managed policies, 0 instance profiles, 1 users, 0 groups
2026-08-05 10:08:31 INFO     orchestrator: Inventory written to logs/reports/070640552464/ap-south-1/inventory.json
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'apigateway' because discovery failed: Service 'apigateway' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'application_autoscaling' because discovery failed: Service 'application_autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'autoscaling' because discovery failed: Service 'autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: cloudformation
2026-08-05 10:08:31 INFO     services.cloudformation: [CLEANUP]   No CloudFormation stacks to delete
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: ec2
2026-08-05 10:08:31 INFO     services.ec2: [CLEANUP]   No EC2 resources to delete
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'ecr' because discovery failed: Service 'ecr' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: ecs
2026-08-05 10:08:31 INFO     services.ecs: [CLEANUP]   No ECS resources to delete
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'eks' because discovery failed: Service 'eks' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'elasticbeanstalk' because discovery failed: Service 'elasticbeanstalk' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'elb' because discovery failed: Service 'elb' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: eventbridge
2026-08-05 10:08:31 INFO     services.eventbridge: [CLEANUP]   No EventBridge resources to delete
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: iam
2026-08-05 10:08:31 INFO     services.iam: [CLEANUP]   [DRY-RUN] Would delete IAM policy DefaultIamPolicy
2026-08-05 10:08:31 INFO     services.iam: [CLEANUP]   [DRY-RUN] Would delete IAM policy CoderCreatedIdentityBoundary
2026-08-05 10:08:31 INFO     services.iam: [CLEANUP]   [DRY-RUN] Would delete IAM user Coder
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'kms' because discovery failed: Service 'kms' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'lambda' because discovery failed: Service 'lambda' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: rds
